region,location,street_address,num_of_rooms,size,fee,final_price,initial_price
Sundbybergskommun,Rissne,Rissneleden 159 - VÅN6,3.5,82.5,4269,4480000,3584000
Nackakommun,Sickla,Gillevägen 3,1,26.5,1773,2150000,1902654
Stockholmskommun,Fredhäll,"Vitalisvägen 7, 1,5 tr",1.5,40.0,2114,3300000,3142857
Stockholmskommun,Hägersten,"Klubbacken 18, 3 tr",2,43.0,2225,3000000,2608695
Stockholmskommun,Södermalm,"Tavastgatan 5, 1tr - Accepterat pris!",2,44.0,2838,4700000,4700000
Sollentunakommun,Häggvik,Sollentunavägen 307,2,45.0,2681,2770000,2742574
Sundbybergskommun,CentralaSundbyberg,Albygatan 120,2,42.5,2674,2600000,2241379
Stockholmskommun,Telefonplan,Bäckvägen 79,2,38.0,3198,2750000,2291666
Stockholmskommun,Hökarängen,"Pepparvägen 45, 3 av 3 tr",2,47.0,3438,2600000,2000000
Stockholmskommun,Vasastan,"Västmannagatan 29, 3 tr",3,76.0,2775,9275000,8918269
Stockholmskommun,Södermalm,Bondegatan 51,3,70.0,3633,7000000,5982905
Stockholmskommun,Älvsjöbadet,Lillhagsvägen 18,3.5,71.0,5089,2900000,2000000
Sundbybergskommun,CentralaSundbyberg,Hamngatan 31A,3,79.0,3864,6050000,6050000
Sollentunakommun,Tureberg,Blåklockevägen 11,3,72.0,4680,3000000,3000000
Stockholmskommun,Kungsholmen,"Kungsklippan 12, 5 tr",1,31.0,2690,3100000,2897196
Stockholmskommun,Södermalm,Katarina Bangata 69,3,85.0,4278,7650000,7650000
Nackakommun,NackaStrand,Augustendalsvägen 27,1,33.0,2075,2450000,2401960
Stockholmskommun,Södermalm,"Klippgatan 21, 5 trp",2,50.0,3468,5230000,4508620
Stockholmskommun,Södermalm,Krukmakargatan 26,2,53.0,2821,5180000,4980769
Stockholmskommun,Bredäng,Ålgrytevägen 29,1.5,30.5,2092,2050000,1898148
Sundbybergskommun,CentralaSundbyberg,"Tulegatan 5, 2 tr",2,56.0,3162,3900000,3305084
Sundbybergskommun,CentralaSundbyberg,"Tulegatan 18, Vån 14 / 15",2,49.0,2690,4520000,4000000
Stockholmskommun,Traneberg,Porfyrvägen 9,2,41.0,3042,3060000,2756756
Stockholmskommun,Kungsholmen,"Kungsklippan 20, 4tr",1,27.0,2391,2900000,2500000
Stockholmskommun,Gröndal,"Ekensbergsvägen 126, 1tr",3,58.0,3236,4000000,3508771
Solnakommun,VästraSkogen,"Tecknarvägen 7, vån 6 av 6",3,65.5,3848,5100000,5000000
Sundbybergskommun,CentralaSundbyberg,Fredsgatan 17,2,44.0,2368,3300000,2796610
Sundbybergskommun,Ursvik,Oxenstiernas Allé 22,4,98.0,5685,4200000,3888888
Stockholmskommun,Södermalm,Gotlandsgatan 60,2,33.0,1651,3730000,3300884
Sollentunakommun,Silverdal,Silverdalsvägen 31,2.5,62.0,2733,2850000,2688679
Stockholmskommun,Kungsholmen,Kellgrensgatan 10,3,78.5,4525,7500000,7009345
Sollentunakommun,Häggvik,Klasrovägen 31,2,54.9,3214,2650000,2650000
Solnakommun,Råsunda,Uppfartsvägen 8,1.5,38.0,2822,2850000,2499999
Stockholmskommun,Gröndal,"Sannadalsvägen 14, 2 / 2tr",3,63.0,3833,5150000,5150000
Stockholmskommun,Kungsholmen,"Jaktvarvsplan 3, 2tr",2,30.0,1715,3300000,2894736
Nackakommun,Sickla,Atlasvägen 39,1.5,37.0,1405,3050000,2242647
