region,location,street_address,num_of_rooms,size,fee,final_price,percentage_change,initial_price
Uppsalakommun,FrämreLuthagen,Odensgatan 15,4,96.3,3815,3600000,"
            -10 %
          ",3272727
Uppsalakommun,Centrum,Kungsgatan 32,1,18.0,994,1250000,"
            -3 %
          ",1213592
Uppsalakommun,Nyby,Elin Wägnersgatan 9,4,87.0,3771,2650000,"
            +15 %
          ",2304347
Uppsalakommun,Nyby,Topeliusgatan 4,2,60.5,4242,1800000,"
            +9 %
          ",1651376
Uppsalakommun,Kungsängen,Kungsängsgatan 59E,3,85.0,4866,3500000,"
            +3 %
          ",3398058
Uppsalakommun,NorraRosendahl,Torgny Segerstedts Allé 95A,4,95.0,4857,4350000,"
            +9 %
          ",3990825
Uppsalakommun,Salabacke,Källparksgatan 16,2,57.0,2500,1985000,"
            +5 %
          ",1890476
Uppsalakommun,Luthagen,Kyrkogårdsgatan 16d,2.5,60.0,3410,2250000,"
            +7 %
          ",2102803
Uppsalakommun,Kapellgärdet,Vattholmavägen 6 A,2,56.0,3177,2700000,"
            +8 %
          ",2500000
Uppsalakommun,Kungsängen,Sågargatan 4B,4,103.0,5231,4500000,"
            +13 %
          ",3982300
Uppsalakommun,Årsta,Fyrislundsgatan 24,2,63.5,3794,1950000,"
            ±0 %
          ",1950000
Uppsalakommun,Bellman,Bellmansgatan 130,3,81.5,4133,2300000,"
            +15 %
          ",2000000
Uppsalakommun,Kapellgärdet,Portalgatan 84,3,81.0,3842,3230000,"
            +1 %
          ",3198019
Uppsalakommun,Svartbäcken,Tunagatan 32E,4,96.0,5089,3400000,"
            -5 %
          ",3238095
Uppsalakommun,Nyby,Lidnersgatan 37,3,74.0,4451,2095000,"
            ±0 %
          ",2095000
Uppsalakommun,Gränby,Blixtgatan 15,2,62.5,3061,2100000,"
            +5 %
          ",2000000
Uppsalakommun,Tunabackar,Torbjörnsgatan 18,7,171.6,7503,5500000,"
            ±0 %
          ",5500000
Uppsalakommun,Svartbäcken,Svartbäcksgatan 97D,2,47.0,3352,1800000,"
            +6 %
          ",1698113
Uppsalakommun,Kungsängen,Skyttelgatan 14,2,72.0,3339,3155000,"
            +9 %
          ",2894495
Uppsalakommun,CentrumUppsala,Kungsängsgatan 41A,3,67.4,3807,3295000,"
            ±0 %
          ",3295000
Uppsalakommun,Luthagen,Tiundagatan 36B,2,61.0,2913,2200000,"
            +1 %
          ",2178217
Uppsalakommun,Fålhagen,Eskilsgatan 4B,3,66.5,3932,3300000,,2178217
Uppsalakommun,Fålhagen,Petterslundsgatan 21D,3,67.0,3145,2850000,"
            ±0 %
          ",2850000
Uppsalakommun,Kungsängen,Tullgarnsgatan 19,2,51.0,2837,2550000,"
            +2 %
          ",2500000
Uppsalakommun,Salabacke,Byggmästargatan 13E,2,56.0,3100,2100000,,2500000
Uppsalakommun,Salabacke,Ritargatan 5,1.5,42.1,2120,1450000,"
            ±0 %
          ",1450000
Uppsalakommun,Fålhagen,S:t Göransgatan 31A,2,52.0,3112,2630000,"
            +10 %
          ",2390909
Uppsalakommun,Gottsunda,Cellovägen 124X,3,82.0,4510,1395000,"
            ±0 %
          ",1395000
Uppsalakommun,Höganäs,S:t Olofsgatan 58B,1.5,44.8,2177,2150000,"
            +20 %
          ",1791666
Uppsalakommun,Luthagen,Götgatan 20 A,2,46.5,2853,2200000,"
            +5 %
          ",2095238
Uppsalakommun,Rosendal,Torgny Segerstedts Allé 21,1,27.0,1321,1950000,"
            -2 %
          ",1911764
Uppsalakommun,Fålhagen,Ymergatan 15F,2,61.0,3555,2850000,"
            +10 %
          ",2590909
Uppsalakommun,Fålhagen,Petterslundsgatan 14E,1,24.0,1759,1580000,"
            -1 %
          ",1564356
Uppsalakommun,Kungsängen,Islandsgatan 8,5,110.5,5435,4560000,"
            -5 %
          ",4342857
Uppsalakommun,Gottsunda,Valthornsvägen 40C,3,78.0,4616,1680000,"
            +5 %
          ",1600000
Uppsalakommun,Fålhagen,Hjalmar Brantingsgatan 17,1,30.5,1692,1850000,"
            +3 %
          ",1796116
Uppsalakommun,SödraRosendal,Torgny Segerstedts Allé 94,3,80.0,4746,3950000,"
            +7 %
          ",3691588
Uppsalakommun,FrämreLuthagen,Luthagsesplanaden 17 B,5,129.5,4727,6750000,"
            +13 %
          ",5973451
Uppsalakommun,Nyby,Leopoldsgatan 21,3,72.0,3993,2350000,"
            +12 %
          ",2098214
Uppsalakommun,Luthagen,Ringgatan 22A,1.5,37.0,2306,2095000,"
            ±0 %
          ",2095000
Uppsalakommun,Herrhagen,Citrinvägen 22,3,66.0,4189,2200000,"
            +10 %
          ",1999999
Uppsalakommun,Nyby,Lidnersgatan 18,2,61.0,3837,1500000,"
            +11 %
          ",1351351
Uppsalakommun,Salabacke,Salabacksgatan 7A,3,76.0,4593,2050000,"
            +8 %
          ",1898148
Uppsalakommun,Salabacke,Gröna gatan 23A,3,75.0,4263,2050000,"
            +3 %
          ",1990291
Uppsalakommun,Sävja,Blekingevägen 15,4,95.4,5609,1875000,"
            +45 %
          ",1293103
Uppsalakommun,Luthagen,Wallingatan 14 B,1,44.0,2634,1950000,"
            -1 %
          ",1930693
Uppsalakommun,Trädgårdsstaden,Tryffelvägen 13,4,95.5,6889,3075000,"
            +6 %
          ",2900943
Uppsalakommun,Luthagen,Fyrisvallsgatan 10A,1,25.0,1750,1725000,"
            ±0 %
          ",1725000
Uppsalakommun,Höganäs,Alriksgatan 1B,2.5,60.0,3015,2775000,"
            +11 %
          ",2500000
Uppsalakommun,Luthagen,Hällbygatan 39,4,101.0,5070,4100000,"
            +8 %
          ",3796296
Uppsalakommun,Luthagen,Hällbygatan 41,3,80.0,4370,3100000,"
            +4 %
          ",2980769
Uppsalakommun,Löten,Lings väg 37,2,62.5,4077,2000000,"
            +11 %
          ",1801801
Uppsalakommun,Kungsängen,Sågargatan 9 C,3,81.0,4228,4100000,"
            +6 %
          ",3867924
Uppsalakommun,Fålhagen,Vaksalagatan 47,1.5,33.4,1760,1900000,"
            +6 %
          ",1792452
Uppsalakommun,MalmaBacke,Malma backe 5 A,3,77.2,5821,2100000,"
            +11 %
          ",1891891
Uppsalakommun,Fålhagen,Salagatan 51 C,3,60.0,4028,3300000,,1891891
Uppsalakommun,ROSENDAL,Soldathemsvägen 5,2,39.0,1694,2495000,"
            ±0 %
          ",2495000
Uppsalakommun,Rosendal,Torgny Segerstedts Allé 21A,2,43.0,2104,2650000,"
            -2 %
          ",2598039
Uppsalakommun,Kungsängen,Tullgarnsgatan 20,3,82.0,4203,3600000,"
            +16 %
          ",3103448
Uppsalakommun,Fålhagen,S:t Göransgatan 23,2,45.0,2273,2575000,"
            +8 %
          ",2384259
Uppsalakommun,Nyby,Elin Wägnersgatan 1,3,76.5,3360,2180000,"
            +4 %
          ",2096153
Uppsalakommun,Eriksberg,Gnejsvägen 7B,1,35.5,2405,1495000,"
            ±0 %
          ",1495000
Uppsalakommun,Fålhagen,Sankt göransgatan 33C,1.5,38.0,2340,1965000,"
            +4 %
          ",1889423
Uppsalakommun,Kungsängen,Sågargatan 13D,3,85.0,4620,3590000,"
            +9 %
          ",3293577
Uppsalakommun,Kapellgärdet,Torngatan 4 (FAST PRIS),4,98.0,5309,3500000,"
            ±0 %
          ",3500000
Uppsalakommun,Luthagen,Luthagsesplanaden 6A,1,23.5,888,1495000,"
            ±0 %
          ",1495000
Uppsalakommun,Sävja,Blekingevägen 13,5,111.5,6208,2400000,"
            +20 %
          ",2000000
Uppsalakommun,Stenhagen,Stenhagsvägen 170,4,99.9,6837,2200000,"
            +16 %
          ",1896551
Uppsalakommun,Fålhagen,Fålhagsleden 6C,1.5,37.0,2107,1995000,"
            ±0 %
          ",1995000
Uppsalakommun,Eriksberg,Stigbergsplan 5,2,56.5,2606,2100000,"
            +5 %
          ",2000000
Uppsalakommun,Kungsängen,Sållargatan 4,1,35.0,1613,1895000,"
            ±0 %
          ",1895000
Uppsalakommun,Eriksberg,Stigbergsvägen 4B,3,85.0,4653,2895000,"
            ±0 %
          ",2895000
Uppsalakommun,Luthagen,Lockgatan 1,2,52.0,3029,2070000,"
            +4 %
          ",1990384
Uppsalakommun,Luthagen,"Luthagsesplanaden 26B, VÅN 3",2,53.0,2872,2550000,"
            +2 %
          ",2500000
Uppsalakommun,Fålhagen,Hjalmar Brantingsgatan 31,3,87.0,4329,3450000,"
            +15 %
          ",3000000
Uppsalakommun,Fålhagen,Torkelsgatan 19H,3,85.0,4502,3600000,"
            +20 %
          ",3000000
Uppsalakommun,Luthagen,Gimogatan 13D,3,77.0,3582,2920000,"
            +9 %
          ",2678899
Uppsalakommun,CENTRUM,Munkgatan 5B,1,22.0,1135,1850000,"
            ±0 %
          ",1850000
Uppsalakommun,Nyby,Lidnersgatan 17,2,61.0,3710,1600000,"
            +7 %
          ",1495327
Uppsalakommun,Luthagen,Fyrisvallsgatan 8A,5,138.0,6541,4720000,"
            +7 %
          ",4411214
Uppsalakommun,Fålhagen,Salagatan 43 B,2,55.0,3182,2490000,"
            ±0 %
          ",2490000
Uppsalakommun,Norby,Stövarvägen 1C,3,84.0,5555,2895000,"
            ±0 %
          ",2895000
Uppsalakommun,Vänge,Vangsbyvägen 98,3,72.0,5610,1700000,"
            +36 %
          ",1250000
Uppsalakommun,Centrum,S:t Olofsgatan 28 A,2,69.8,4896,2595000,"
            ±0 %
          ",2595000
Uppsalakommun,Centrum,Storgatan 23A,4,137.0,6608,9500000,"
            +12 %
          ",8482142
Uppsalakommun,Salabacke,Fyrislundsgatan 23 B,1,34.0,2752,1550000,"
            +4 %
          ",1490384
Uppsalakommun,Luthagen,"Geijersgatan 25C, VÅN 4 / 4",3,65.0,3896,3075000,"
            +3 %
          ",2985436
Uppsalakommun,Centrum,"Östra Ågatan 43, VÅN 3 / 3",1.5,49.8,1779,3250000,"
            +9 %
          ",2981651
Uppsalakommun,Kungsängen,Skyttelgatan 16,1,34.0,2074,1975000,"
            -1 %
          ",1955445
Uppsalakommun,CENTRUM,Dragarbrunnsgatan 11A,2,56.0,3108,2225000,"
            -1 %
          ",2202970
Uppsalakommun,Kapellgärdet,Råbyvägen 78,2,65.0,3950,2300000,"
            -3 %
          ",2233009
Uppsalakommun,Vänge,Vangsbyvägen 78,3.5,83.5,5970,1600000,"
            +7 %
          ",1495327
Uppsalakommun,Fålhagen,Petterslundsgatan 16C,3,86.6,4605,3100000,"
            +4 %
          ",2980769
Uppsalakommun,Centrum,Storgatan 22 E,3,76.9,3724,2900000,"
            -6 %
          ",2735849
Uppsalakommun,Fålhagen,Hjalmar Brantingsgatan 12 B,3.5,78.3,4093,3350000,"
            +5 %
          ",3190476
Uppsalakommun,Gränby,Blixtgatan 19,3.5,82.5,4101,2000000,"
            ±0 %
          ",2000000
Uppsalakommun,Luthagen,Norrlandsgatan 38 C,3,77.0,4236,3350000,"
            +5 %
          ",3190476
Uppsalakommun,Gränbybacke,Solskensgatan 19,2,50.5,3121,1750000,"
            -3 %
          ",1699029
Uppsalakommun,Uppsala,Norrtäljegatan 29,2,57.0,4355,1995000,"
            ±0 %
          ",1995000
Uppsalakommun,Höganäs,Storgatan 18 B,2,42.6,2569,2195000,"
            +5 %
          ",2090476
Uppsalakommun,Salabacke,Lästmakargatan 2B,2,55.0,3346,2045000,"
            +14 %
          ",1793859
Uppsalakommun,Årsta,Kummingatan 5 A,3,79.7,4044,2375000,"
            +3 %
          ",2305825
Uppsalakommun,Kapellgärdet,Portalgatan 15,3,77.0,4326,2780000,"
            +11 %
          ",2504504
Uppsalakommun,FrämreLuthagen,Odensgatan 18,2,60.0,2236,3150000,"
            +9 %
          ",2889908
Uppsalakommun,FrämreLuthagen,Luthagsesplanaden 8A,2.5,68.0,3892,2800000,"
            ±0 %
          ",2800000
Uppsalakommun,FrämreLuthagen,Götgatan 14 A,1,22.5,1314,1950000,"
            +9 %
          ",1788990
Uppsalakommun,NorraRosendal,Dekangatan 10 (2-1504),1,28.0,1642,1585000,"
            ±0 %
          ",1585000
Uppsalakommun,Gränby,Albert Engströmsgatan 2H,2,53.0,3505,1900000,"
            +2 %
          ",1862745
Uppsalakommun,ÖstraSalabacke,"Johannesbäcksgatan 95A, VÅN 4",2,44.0,2785,1850000,"
            +3 %
          ",1796116
Uppsalakommun,Sävja,Västgötaresan 8,3,84.5,5704,1495000,"
            ±0 %
          ",1495000
Uppsalakommun,KUNGSÄNGEN,Mältargatan 2,3,88.0,4677,3295000,"
            -3 %
          ",3199029
Uppsalakommun,Luthagen,Dalgatan 8,2.5,64.4,3500,3500000,"
            +6 %
          ",3301886
Uppsalakommun,Höganäs,S:t Olofsgatan 48,1,39.5,1884,1895000,"
            ±0 %
          ",1895000
Uppsalakommun,ULLERÅKER,Eva Lagerwalls väg 4,2,66.0,4251,2350000,"
            +13 %
          ",2079646
Uppsalakommun,Höganäs,Höganäsgatan 4E,1.5,42.0,2244,2095000,"
            ±0 %
          ",2095000
Uppsalakommun,Luthagen,Vindhemsgatan 18A,2,63.0,4480,3200000,"
            +7 %
          ",2990654
Uppsalakommun,Centrum,Dragarbrunnsgatan 58,3,72.0,3300,3195000,"
            ±0 %
          ",3195000
Uppsalakommun,Tunabackar,Fjärdhundragatan 50,2.5,68.5,3514,2210000,"
            +17 %
          ",1888888
Uppsalakommun,NYBY,Lidnersgatan 32,3,76.5,4409,2500000,"
            +4 %
          ",2403846
Uppsalakommun,Luthagen,Luthagsesplanaden 30 B,1.5,39.0,1685,2460000,"
            +7 %
          ",2299065
Uppsalakommun,Stenhagen,Herrhagsvägen 403,3,83.0,4987,1850000,"
            +3 %
          ",1796116
Uppsalakommun,Gottsunda,Valthornsvägen 36B,2.5,68.0,3927,1450000,"
            +4 %
          ",1394230
Uppsalakommun,Rosendal,Torgny Segerstedts Allé 85,2,38.0,1813,2200000,,1394230
Uppsalakommun,Årsta,Kamomillgatan 30,2,63.0,3651,1650000,"
            -3 %
          ",1601941
Uppsalakommun,Fålhagen,S:t Göransgatan 24B,2,44.5,2767,2230000,"
            +6 %
          ",2103773
Uppsalakommun,Gränby,Marknadsgatan 44,2,43.5,2741,1800000,"
            ±0 %
          ",1800000
Uppsalakommun,Årsta,Fyrislundsgatan 46,3,83.5,2897,2700000,"
            +8 %
          ",2500000
Uppsalakommun,Eriksberg,Norbyvägen 63,1,25.0,914,1605000,"
            +7 %
          ",1500000
Uppsalakommun,Luthagen,Tegnérgatan 36B,2,54.5,3291,2195000,"
            ±0 %
          ",2195000
Uppsalakommun,Salabacke,Årstagatan 41,2,64.0,3170,2300000,"
            +15 %
          ",2000000
Uppsalakommun,Sävja,Ölandsresan 3C,2,53.0,3143,1900000,,2000000
Uppsalakommun,Kapellgärdet,Vattholmavägen 4 D,2,67.0,3856,2680000,"
            +7 %
          ",2504672
Uppsalakommun,Kungsängen,Sågargatan 8A,2,61.0,2581,2650000,"
            +2 %
          ",2598039
Uppsalakommun,Kungsängen,Viragatan 7,3,82.0,4748,3510000,"
            +7 %
          ",3280373
Uppsalakommun,Gränby,Råbyvägen 57H,1,34.0,2230,1550000,"
            ±0 %
          ",1550000
Uppsalakommun,Fålhagen,S:T Persgatan 47 A,2,55.0,2922,2325000,"
            +17 %
          ",1987179
Uppsalakommun,Fjärdingen,Trädgårdsgatan 7A,3,97.0,4488,6650000,"
            +1 %
          ",6584158
Uppsalakommun,Fålhagen,Salagatan 40A,1.5,48.8,2684,2450000,"
            +2 %
          ",2401960
Uppsalakommun,Svartbäcken,Svartbäcksgatan 68B,1.5,38.5,2223,1850000,"
            ±0 %
          ",1850000
Uppsalakommun,Uppsala,Fyrislundsgatan 23B,1,34.0,2752,1520000,"
            +2 %
          ",1490196
Uppsalakommun,Svartbäcken,Svartbäcksgatan 78 A - Fast Pris,1.5,41.9,2751,1895000,"
            ±0 %
          ",1895000
Uppsalakommun,Rickomberga,Hildur Ottelinsgatan 1C,2,41.9,2985,2000000,"
            +11 %
          ",1801801
