region,location,street_address,num_of_rooms,size,fee,price
Luthagen,Luthagen,"
        Ringgatan 2 F
      ",4,103.0,5577,3995000
Kungsängen,Kungsängen,"
        Sågargatan 4 B
      ",4,104.0,5266,4095000
Årsta,Årsta,"
        Fålhagsleden 99
      ",1,42.7,2651,1595000
Främre Luthagen,FrämreLuthagen,"
        Sysslomansgatan 7
      ",1,25.0,1931,1775000
Fålhagen,Fålhagen,"
        Norrtäljegatan 34
      ",2,53.0,3640,2095000
Sommarro,Sommarro,"
        Norbyvägen 71 A - FAST PRIS
      ",1,38.0,2784,1595000
Ultuna,Ultuna,"
        Göte Turessons väg 7
      ",1,35.0,2570,1750000
Centrum,Centrum,"
        Östra Ågatan 73C
      ",2,64.5,5133,2950000
Centrum,Centrum,"
        Slottsgränd 2E
      ",2,44.9,2885,2695000
Centrum,Centrum,"
        Slottsgränd 2D
      ",2,43.6,2872,2795000
Uppsala,Uppsala,"
        S:t Göransgatan 22
      ",1,32.0,2090,1780000
Uppsala,Uppsala,"
        Kantorsgatan 5
      ",2,56.0,3630,2195000
Uppsala,Uppsala,"
        Kantorsgatan 5
      ",2,57.0,3680,2195000
Salabacke,Salabacke,"
        Lästmakargatan 1A FAST PRIS
      ",4,81.0,4623,2990000
Uppsala,Uppsala,"
        Kantorsgatan 3B
      ",2,42.0,2930,1950000
Uppsala,Uppsala,"
        Kantorsgatan 5
      ",1,35.0,2580,1795000
Norra Rosendal,NorraRosendal,"
        Dekangatan 10 (2-1003)
      ",1,30.0,1759,1645000
Luthagen,Luthagen,"
        Kyrkogårdsgatan 16 F
      ",1,27.0,1541,2095000
Höganäs,Höganäs,"
        S:t olofsgatan 56B
      ",2,44.0,2656,2150000
Rosendal,Rosendal,"
        Torgny Segerstedts allé 21
      ",1,32.0,1566,1750000
Bellman,Bellman,"
        Bellmansgatan 112
      ",1,29.5,2054,1395000
Salabacke,Salabacke,"
        Gröna gatan 23C
      ",2,60.5,3494,1990000
Fålhagen,Fålhagen,"
        S:t Göransgatan 26B
      ",4,120.0,4538,7200000
Uppsala,Uppsala,"
        Gösta Wahlströms väg 2 B
      ",5,110.0,6050,5195000
Uppsala,Uppsala,"
        Gösta Wahlströms väg 2 B
      ",4,99.0,5550,4295000
Uppsala,Uppsala,"
        Gösta Wahlströms väg 2 A
      ",4,88.0,5150,4595000
Uppsala,Uppsala,"
        Gösta Wahlströms väg 2 A
      ",3,86.0,4900,3595000
Uppsala,Uppsala,"
        Gösta Wahlströms väg 2 B
      ",2,55.0,3650,2695000
Uppsala,Uppsala,"
        Gösta Wahlströms väg 2 D
      ",4,99.0,5449,3995000
Uppsala,Uppsala,"
        Gösta Wahlströms väg 2 C
      ",2,59.0,3792,2595000
Uppsala,Uppsala,"
        Gösta Wahlströms väg 2 C
      ",3,55.0,3567,2595000
Uppsala,Uppsala,"
        Gösta Wahlströms väg 2 D
      ",2,37.0,2891,2145000
Uppsala,Uppsala,"
        Gösta Wahlströms väg 2 E
      ",2,34.0,2778,1995000
Uppsala,Uppsala,"
        Amanuensgatan 9
      ",3,68.0,4263,2995000
Uppsala,Uppsala,"
        Amanuensgatan 9
      ",3,64.0,4109,2995000
Uppsala,Uppsala,"
        Amanuensgatan 9
      ",3,60.0,3957,2795000
Uppsala,Uppsala,"
        Amanuensgatan 9
      ",2,35.0,2850,1995000
Uppsala,Uppsala,"
        Betty Petterssons gata 7
      ",1,30.0,2585,1695000
Fullerö Hage,FulleröHage,"
        Snömolnsvägen
      ",5,113.0,4396,4195000
Tunabackar/Svartbäcken,Tunabackar,"
        Fjärdhundragatan 58
      ",1,25.5,1486,1295000
Rosendal,Rosendal,"
        Lydia Wahlströms Gata
      ",4,93.0,5225,3998000
Gränbystaden,Gränbystaden,"
        Marknadsgatan 44
      ",2.5,55.0,3369,2200000
Gränbystaden,Gränbystaden,"
        Marknadsgatan 44
      ",3,78.5,4579,2800000
Gränbystaden,Gränbystaden,"
        Marknadsgatan 30A
      ",3,54.5,3338,2200000
Gränbystaden,Gränbystaden,"
        Marknadsgatan 30A
      ",2,43.0,2709,1775000
Kungsängen / Industristaden,Kungsängen,"
        Sågargatan 8C
      ",2,44.0,2004,2195000
Centrum,Centrum,"
        Ellegatan 5
      ",3,87.0,3610,4195000
Uppsala,Uppsala,"
        Ringgatan 20A
      ",3,75.5,4132,2895000
Valsätra,Valsätra,"
        Bernadottestigen 1A *ACCEPTERAT PRIS*
      ",1,31.0,2337,1495000
Främre Luthagen,FrämreLuthagen,"
        Fredsgatan 3
      ",1,27.7,1759,1800000
Luthagen,Luthagen,"
        Viktoriagatan 6B
      ",2,50.0,3219,2495000
Centrum,Centrum,"
        Ellegatan 3
      ",3,91.0,3776,3995000
Vädergatorna,Vädergatorna,"
        Gränby bilgata 14
      ",4,103.2,4901,2595000
Rosendal,Rosendal,"
        Torgny Segerstedts allé 4
      ",2,48.0,2515,1975000
Fålhagen,Fålhagen,"
        Torkelsgatan 2A
      ",1,38.0,2850,1895000
Årsta,Årsta,"
        Fyrislundsgatan 40
      ",3,83.5,2696,2290000
Höganäs,Höganäs,"
        Väderkvarnsgatan 15 A
      ",2.5,66.0,2885,2490000
Tunabackar,Tunabackar,"
        Tunagatan 11
      ",5,101.0,5945,3495000
Salabacke,Salabacke,"
        Apelgatan 5A
      ",1,39.0,2245,1695000
Fålhagen,Fålhagen,"
        Frodegatan 16 B
      ",2,51.0,3205,2295000
Stabby,Stabby,"
        Pålgatan 12
      ",4,96.0,5035,3795000
CENTRUM,CENTRUM,"
        Eddagatan 8
      ",2,64.1,4073,2795000
Årsta,Årsta,"
        Körvelgatan 3A
      ",3,79.7,4316,2495000
Luthagen,Luthagen,"
        Norrlandsgatan 19
      ",3,91.5,4185,3795000
Luthagen,Luthagen,"
        Stabby allé 9D
      ",2,59.0,3504,1995000
Kungsängen,Kungsängen,"
        Kryddblandargatan 9
      ",2,35.0,2302,2150000
Främre Luthagen,FrämreLuthagen,"
        Sysslomansgatan 7
      ",1,34.0,2217,2395000
Dragarbrunn,Dragarbrunn,"
        Dragarbrunnsgatan 53
      ",1,21.5,1495,1795000
Luthagen,Luthagen,"
        Gimogatan 11 C
      ",2,41.5,2512,1995000
Luthagen,Luthagen,"
        Gimogatan 4C
      ",4.5,109.0,5631,3495000
Kapellgärdet,Kapellgärdet,"
        Orgelgatan 15
      ",4,89.0,4985,4195000
Kungsängen - Industristaden,Kungsängen,"
        Skyttelgatan 8
      ",3,95.0,4677,4795000
Kapellgärdet,Kapellgärdet,"
        Torngatan 24
      ",4,110.0,5154,5995000
Höganäs,Höganäs,"
        S:t Olofsgatan 66B
      ",4,96.0,4279,3930000
Gränby,Gränby,"
        Råbyvägen 53E
      ",2,45.0,2942,1795000
Rickomberga,Rickomberga,"
        Gösta Wahlströms väg 20
      ",3,86.0,3796,3100000
Salabacke,Salabacke,"
        Murargatan 8D
      ",3,70.9,3807,2195000
Luthagen,Luthagen,"
        Humlegatan 1
      ",1,33.0,2882,1495000
Centrum,Centrum,"
        Sågargatan 9B
      ",3,85.0,4358,3395000
SUNNERSTA,SUNNERSTA,"
        Morkullevägen 70
      ",2,68.0,3523,2450000
SALABACKE,SALABACKE,"
        Verkmästargatan 1B
      ",1,24.0,1576,1150000
Sala backe,Salabacke,"
        Salabacksgatan 11A - Fast pris
      ",1,41.0,2655,1695000
Salabacke,Salabacke,"
        Johannesbäcksgatan 86C
      ",2,58.0,3240,1795000
Fålhagen,Fålhagen,"
        Vaksalagatan 55
      ",1,21.0,2270,1150000
Kungsängen,Kungsängen,"
        Industrigatan 35
      ",1,34.0,2031,1950000
Rosendal,Rosendal,"
        Lydia Wahlströms Gata
      ",4,93.0,5225,3998000
Luthagen,Luthagen,"
        Gimogatan 13c
      ",3,74.0,3490,2495000
Nyby,Nyby,"
        Leopoldsgatan 25
      ",1,25.0,1660,1295000
Gränby,Gränby,"
        Blixtgatan 15
      ",2,61.5,3192,2295000
Fålhagen,Fålhagen,"
        Petterslundsgatan 14E
      ",1,24.0,1759,1650000
Kapellgärdet,Kapellgärdet,"
        Portalgatan 76
      ",4,100.0,4954,3495000
Främre Luthagen,FrämreLuthagen,"
        Luthagsesplanaden 21A
      ",1.5,33.0,1739,2095000
Tuna Backar,TunaBackar,"
        Väpnargatan 7c, FAST PRIS!
      ",3,70.5,3588,2295000
Fålhagen,Fålhagen,"
        Frodegatan 19 A
      ",1.5,45.5,2677,2195000
FLOGSTA-EKEBY,FLOGSTA,"
        Flogstavägen 160 NB
      ",4,101.0,5374,3150000
