region,location,street_address,num_of_rooms,size,fee,final_price,initial_price
Stockholmskommun,LägenhetLägenhetVästertorp,Piruettvägen 4 - UNDERHAND,2,63 ,63m²2rum,3750000,3254716
Stockholmskommun,LägenhetLägenhetGloben,Bildhuggarvägen 15,2,39 ,39m²2rum,2860000,2486956
Nackakommun,LägenhetLägenhetSaltsjöbadenLjuskärrsberget,Ljuskärrsvägen 63,3.5,78 ,"78m²3,5rum",3200000,3200000
Stockholmskommun,LägenhetLägenhetGubbängen,Bordsvägen 27,1,41 ,41m²1rum,2410000,2190909
Solnakommun,Hagastaden,Fogdevreten 6,2,55 ,55m²2rum,3150000,2739130
Stockholmskommun,Södermalm,"Lundagatan 36E, 2tr",2,36 ,36m²2rum,3495000,3495000
Stockholmskommun,Vasastan,"Upplandsgatan 28, 5 tr",5,125.5 ,"125,5m²5rum",13500000,13500000
Stockholmskommun,LägenhetLägenhetÄlvsjö,Långsjövägen 58,2,45 ,45m²2rum,2800000,2393162
Stockholmskommun,Kungsholmen,"Primusgatan 94, 3 tr",2,56 ,56m²2rum,5100000,5000000
Stockholmskommun,LägenhetLägenhetEnskede,"Sofielundsvägen 12, 2 tr",2,53.5 ,"53,5m²2rum",3510000,3000000
Stockholmskommun,LägenhetLägenhetHusby,Stavangergatan 50,3,76 ,76m²3rum,1800000,1500000
Stockholmskommun,Bromma,Bergslagsvägen 43,1,40 ,40m²1rum,2325000,2094594
