region,location,street_address,num_of_rooms,size,fee,final_price,initial_price
Stockholmskommun,LägenhetLägenhetGubbängen,Kistvägen 15,3,53 ,2998,3350000,2991071
Stockholmskommun,LägenhetLägenhetStureby,Bäckaskiftsvägen 25,2,34 ,1780,2650000,2387387
Stockholmskommun,Bromma,Majvägen 20,4,135 ,5749,15490000,15490000
Sundbybergskommun,LägenhetLägenhetCentralaSundbyberg,"Tulegatan 5, 4tr",2,56 ,3162,4200000,3387096
Stockholmskommun,LägenhetLägenhetBredäng.,Ålgrytebacken,4,75 ,4490,3400000,3400000
Stockholmskommun,LägenhetLägenhetBredäng.,Ålgrytebacken,1,33 ,2013,2260000,2260000
Stockholmskommun,Kungsholmen,"Alströmergatan 8A, Gårdshus",3,63 ,2612,6410000,5990654
Stockholmskommun,LägenhetLägenhetSvedmyra,Brevvägen 7,2,42 ,2437,2930000,2289062
Solnakommun,LägenhetLägenhetJärvastaden,Fridensborgsvägen 117,1,40 ,2622,2500000,2500000
Stockholmskommun,LägenhetLägenhetHagsätra,Axbergsgränd 3,2,61 ,3586,2200000,1692307
Stockholmskommun,LägenhetLägenhetÄlvsjöstaden,Kabelverksgatan 42,3,80 ,-,5110000,5110000
Stockholmskommun,LägenhetLägenhetKista,Ringstedsgatan 54,3,77 ,4832,2750000,2500000
Stockholmskommun,LägenhetLägenhetAnnedal,"Krakel Spektakels Gata 2, 5 tr",5,128.5 ,5636,7600000,7524752
Nackakommun,LägenhetLägenhetSkuru,Barnhemsvägen 11,3,72 ,4070,4075000,3606194
Sollentunakommun,LägenhetLägenhetKärrdal,Lomvägen 41,2,66.5 ,3027,2300000,2254901
Stockholmskommun,Vällingby,Jämtlandsgatan 74,1,24 ,1375,1470000,1400000
Stockholmskommun,Kungsholmen,"Lidnersplan 8, 4tr",2,51 ,3419,5750000,5088495
Stockholmskommun,LägenhetLägenhetHammarbySjöstad,Redargatan 8,3,78 ,4573,6100000,5809523
Stockholmskommun,Midsommarkransen,"Tellusborgsvägen 90, vån 6 / 6",1,30 ,1704,3000000,2400000
Stockholmskommun,Vasastan,"Roslagsgatan 59, 3tr",1,29 ,1646,3720000,2952380
Stockholmskommun,Kungsholmen,Pontonjärgatan 33,1,24 ,1143,2850000,2394957
Stockholmskommun,LägenhetLägenhetBredäng.,Ålgrytebacken,1,33 ,2013,2350000,2350000
Stockholmskommun,LägenhetLägenhetHammarbySjöstad,Lumaparksvägen 3,3,75 ,4337,7200000,2350000
Stockholmskommun,LägenhetLägenhetFruängen,Hanna Paulis gata 5,4,85 ,4741,4700000,4392523
Stockholmskommun,Bromma,Herman ygbergs väg 4,1,31.5 ,2227,2950000,2286821
Stockholmskommun,LägenhetLägenhetÅrsta,Slätbaksvägen 39,2,42.5 ,2324,3110000,2448818
Nackakommun,LägenhetLägenhetFinntorp,"Becksjudarvägen 39, högst upp!",1.5,40 ,2670,2800000,2258064
Stockholmskommun,Vasastan,Nina einhorns gata 1,3,81 ,3714,9200000,9200000
Stockholmskommun,Vasastan,Karlbergsvägen 27C,1,45 ,1851,4100000,3980582
Solnakommun,LägenhetLägenhetJärvastaden,Fridensborgsvägen 127,1.5,45 ,3060,2700000,2389380
Stockholmskommun,LägenhetLägenhetFarsta,Larsbodavägen 57A,3,69 ,3770,3100000,2743362
Stockholmskommun,Kungsholmen,Alströmergatan 32F,1,35 ,1801,3630000,3000000
Stockholmskommun,LägenhetLägenhetKista,Helsingörsgatan 50,3,83.5 ,5290,2800000,2745098
Sundbybergskommun,LägenhetLägenhetStorskogen,Fågelsången 2B,2,51 ,2368,3900000,3786407
Stockholmskommun,Vällingby,Vittangigatan 35,4,87 ,4976,3400000,3786407
Solnakommun,LägenhetLägenhetVästraSkogen,Epistelvägen 1B,3,82 ,4442,5000000,4587155
Stockholmskommun,LägenhetLägenhetBredäng.,Ålgrytebacken,3,77 ,4613,5995000,5995000
Sundbybergskommun,LägenhetLägenhetCentralaSundbyberg,Vattugatan 12,2,55 ,3610,3395000,3395000
Stockholmskommun,Östermalm,Melodislingan 14,3,111 ,6754,14500000,13551401
Stockholmskommun,LägenhetLägenhetHammarbySjöstad,Henriksdalsallén 26B,2,52.5 ,2910,4100000,3796296
Stockholmskommun,Telefonplan,"Bäckvägen 149, vån 2",1,26 ,1571,2355000,1995762
Stockholmskommun,LägenhetLägenhetEnskedegård,Odelbergsvägen 34,4,94 ,5712,8350000,6733870
Stockholmskommun,Södermalm,"Rosenlundsgatan 18, vån 4",1,32 ,1834,3525000,3147321
Stockholmskommun,LägenhetLägenhetKista,Helsingörsgatan 7,2,45 ,2661,2210000,1990990
Stockholmskommun,Kungsholmen,"Pontonjärgatan 8, 3 tr",3,82 ,2910,10500000,8823529
Stockholmskommun,Vasastan,Döbelnsgatan 27,1.5,31 ,1329,3800000,3486238
Stockholmskommun,Kungsholmen,"Sysslomansgatan 26, 2tr",1.5,41 ,2490,3900000,3900000
Nackakommun,LägenhetLägenhetNackastrand,"Augustendalsvägen 30, 4 tr",3,88 ,4668,7900000,7383177
Nackakommun,LägenhetLägenhetJärlasjö,Turbinvägen 5D,2,45 ,2625,2875000,2764423
Stockholmskommun,LägenhetLägenhetÅrsta,"Malgomajvägen 16, 2 tr",2,57 ,3603,3400000,2982456
Stockholmskommun,LägenhetLägenhetNorraDjurgårdsstaden,Drevergatan 1A Etage,2,54 ,2409,5200000,4859813
Stockholmskommun,Vällingby,"Gulddragargränd 52, vån 8",3,69 ,3977,2855000,2745192
Stockholmskommun,LägenhetLägenhetKatarina,Götgatan 128,2,65 ,2799,5400000,5294117
Sollentunakommun,LägenhetLägenhetSjöberg,"Sidensvansvägen 32, 3 tr",3,77.5 ,4573,3000000,2884615
