region,location,street_address,num_of_rooms,size,fee,final_price,initial_price
Uppsalakommun,Gränby,Albert Engströmsgatan 2H,1,25.5,2123,1050000,1009615
Uppsalakommun,Gränby,Marknadsgatan 30A,2,52.5,3308,2500000,2500000
Uppsalakommun,Fålhagen,S:t Göransgatan 23,2,45.0,2273,2575000,2384259
Uppsalakommun,Tunabackar,Idrottsgatan 16,5,115.9,4613,4500000,3982300
Uppsalakommun,Gunsta,Hjulaxelvägen 72,4,81.0,4509,2500000,2450980
Uppsalakommun,Gränby,Marknadsgatan 44,3,78.5,4579,3200000,3200000
Uppsalakommun,Gränbystaden,Marknadsgatan 48,3,79.5,4638,3050000,3050000
Uppsalakommun,Gränby,Marknadsgatan 40,1,32.0,2053,1575000,1575000
Uppsalakommun,Gränbystaden,Marknadsgatan 44,2,43.5,2741,1775000,1775000
Uppsalakommun,Gränby,Marknadsgatan 30A,3,68.5,3996,2750000,2750000
Uppsalakommun,Gränby,Marknadsgatan 40,3,78.5,4579,2900000,2900000
Uppsalakommun,Gränby,Marknadsgatan 44,3,78.5,4579,2950000,2950000
Uppsalakommun,FÅLHAGEN,S:t Göransgatan 26B,4,130.0,4821,7390000,7316831
Uppsalakommun,CentralaUppsala,Dragarbrunnsgatan 53,1,21.5,1482,1620000,1588235
Uppsalakommun,Luthagen,Tegnérgatan 33B,1,23.5,1872,1650000,1601941
Uppsalakommun,SÄVJA,"Ölandsresan 3D, våning 11",3,77.0,4045,3300000,2999999
Uppsalakommun,Årsta,Kamomillgatan 23,3,78.0,4315,2300000,1949152
Uppsalakommun,Centrum,Svartbäcksgatan 43G,2,65.2,3839,3000000,1949152
Uppsalakommun,Gränby,Marknadsgatan 30A,3,68.5,3996,2500000,2500000
Uppsalakommun,Gränbystaden,Marknadsgatan 30A,2,43.0,2709,1825000,1825000
Uppsalakommun,Gränby,Råbyvägen 55H,2,35.0,2594,1620000,1557692
Uppsalakommun,Fålhagen,Salagatan 55B,1,39.5,2928,2250000,2102803
Uppsalakommun,FrämreLuthagen,Sturegatan 1,1,40.1,2676,2400000,2376237
Uppsalakommun,SödraRosendal,Rosendalsvägen 12C,3,91.0,4452,4995000,4995000
Uppsalakommun,Fålhagen,Väderkvarnsgatan 38B,1,41.5,2687,2400000,2086956
Uppsalakommun,Salabacke,Lästmakargatan 12B,3,76.5,4613,2875000,2590090
Uppsalakommun,Centrum,Dragarbrunnsgatan 11B,2,64.5,3161,2070000,1952830
Uppsalakommun,Centrum,S:t Olofsgatan 31 A,3,91.0,4604,4950000,1952830
Uppsalakommun,Fålhagen,Hjalmar Brantingsgatan 21,4,91.0,4815,4240000,3504132
Uppsalakommun,Kungsängen,Siktargatan 30,3,84.0,4591,3700000,3303571
Uppsalakommun,Tunabackar,Tunagatan 7 F,2,57.0,2959,2320000,2090090
Uppsalakommun,Sommarro,Norbyvägen 69A,3,73.0,3685,3125000,2604166
Uppsalakommun,Fålhagen,Ymergatan 13D,2,53.0,3064,2760000,2486486
Uppsalakommun,Kapellgärdet,Djäknegatan 40,3.5,66.9,4665,2475000,2475000
Uppsalakommun,SALABACKE,Lästmakargatan 5A,1.5,40.0,2658,1795000,1795000
Uppsalakommun,Luthagen,Ringgatan 11C,3,74.6,3500,3225000,2986111
Uppsalakommun,Salabacke,Murargatan 33,5,101.1,3602,3710000,3254385
Uppsalakommun,FrämreLuthagen,Götgatan 12 B,1,30.4,1758,1995000,1995000
Uppsalakommun,Årsta,Kummingatan 8B,3,79.7,4429,2900000,2900000
Uppsalakommun,Luthagen,Dalgatan 8,3,92.4,4874,5400000,3999999
Uppsalakommun,TunaBackar,Torbjörnsgatan 22,3,85.8,3751,2900000,2500000
Uppsalakommun,Svartbäcken,Svartbäcksgatan 74A,2,52.0,3136,2200000,2095238
Uppsalakommun,Centrum,Vretgränd 4B,2,54.5,2059,2550000,2428571
Uppsalakommun,Svartbäcken,Swedenborgsgatan 36C,4,83.0,4548,3655000,2971544
Uppsalakommun,FrämreLuthagen,Luthagsesplanaden 23A,3,91.0,4014,3500000,3181818
Uppsalakommun,Luthagen,Tiundagatan 47,2,59.0,2959,2250000,2205882
Uppsalakommun,Rosendal,Torgny Segerstedts allé 4,1,31.0,1590,1625000,1593137
Uppsalakommun,Kungsängen,Tullgarnsgatan 13,4,101.0,5032,5210000,4736363
Uppsalakommun,Kapellgärdet,Kapellgatan 2,2,49.0,3526,2250000,1991150
Uppsalakommun,Kåbo,Artillerigatan 4,4,85.0,4793,4225000,3985849
Uppsalakommun,Luthagen,Pålgatan 3,4,99.0,5007,4100000,3796296
Uppsalakommun,Salabacke,Murargatan 11,2,56.5,2673,1645000,1597087
Uppsalakommun,Gränby,Dimgatan 6,3,77.0,4752,2400000,2086956
Uppsalakommun,KÅBO,"Banérgatan 16 A,1204",4,88.0,4033,4200000,4000000
Uppsalakommun,Luthagen,Norrlandsgatan 36C,2,54.0,2719,2550000,2297297
Uppsalakommun,Uppsala,Bäcklösavägen 3,4,90.0,4937,3950000,2297297
Uppsalakommun,Salabacke,Apelgatan 9 D,1,38.0,2189,1500000,1500000
Uppsalakommun,Luthagen,Tegnérgatan 32B,2,54.5,3449,2350000,2259615
Uppsalakommun,Fålhagen,Ymergatan 17 B,2,50.5,3277,2695000,2695000
Uppsalakommun,Årsta,Gräslöksgatan 16,3,78.0,4207,2355000,1995762
Uppsalakommun,Fålhagen,Salagatan 42A,3,72.0,3826,3520000,3384615
